id,Details,NDVI,PLATFORM,Yield
241,HiRain_SWW_SP,0.950519742,TAMU,87
242,HiRain_SWW_SP,0.966388517,TAMU,88
243,HiRain_SWW_SP,0.914319402,TAMU,71
244,HiRain_SWW_SP,0.963983576,TAMU,81
245,HiRain_SWW_SP,0.958016238,TAMU,86
246,HiRain_SWW_SP,0.95929532,TAMU,83
247,HiRain_SWW_SP,0.957363511,TAMU,85
248,HiRain_SWW_SP,0.955932639,TAMU,90
249,HiRain_SWW_SP,0.943365216,TAMU,78
250,HiRain_SWW_SP,0.954409122,TAMU,98
1,Metribuzin_Trail_NoSpray,0.964426876,TAMU,119
2,Metribuzin_Trail_NoSpray,0.967072717,TAMU,119
3,Metribuzin_Trail_NoSpray,0.968804434,TAMU,120
4,Metribuzin_Trail_NoSpray,0.976972433,TAMU,127
5,Metribuzin_Trail_NoSpray,0.964195648,TAMU,115
6,Metribuzin_Trail_NoSpray,0.974050399,TAMU,129
7,Metribuzin_Trail_NoSpray,0.972800964,TAMU,120
8,Metribuzin_Trail_NoSpray,0.971982233,TAMU,133
9,Metribuzin_Trail_NoSpray,0.973659457,TAMU,119
10,Metribuzin_Trail_NoSpray,0.970163545,TAMU,109
11,Metribuzin_Trail_NoSpray,0.962442357,TAMU,98
12,Metribuzin_Trail_NoSpray,0.965855685,TAMU,91
13,Metribuzin_Trail_NoSpray,0.96858326,TAMU,100
14,Metribuzin_Trail_NoSpray,0.961196352,TAMU,104
15,Metribuzin_Trail_NoSpray,0.966872438,TAMU,104
16,Metribuzin_Trail_NoSpray,0.965576517,TAMU,112
17,Metribuzin_Trail_NoSpray,0.967965188,TAMU,80
18,Metribuzin_Trail_NoSpray,0.944601037,TAMU,84
19,Metribuzin_Trail_NoSpray,0.954465128,TAMU,87
20,Metribuzin_Trail_NoSpray,0.961311941,TAMU,83
